conv_filters_1,conv_kernel_size,strides,pool_size,conv_filters_2,conv_filters_3,conv_activation,rnn,rnn_units,rnn_activation,optimizer,epochs
8,4,2,2,16,32,relu,LSTM,32,relu,RMSprop,10
8,4,2,2,16,32,relu,LSTM,16,relu,RMSprop,10
8,3,2,2,16,32,relu,LSTM,32,relu,RMSprop,10
8,4,2,2,16,-,relu,LSTM,32,relu,RMSprop,10
16,4,2,2,-,-,relu,LSTM,32,relu,adamax,10
16,4,2,2,-,-,relu,LSTM,32,relu,adamax,10
8,4,2,2,16,-,relu,LSTM,32,relu,adam,10
16,4,2,2,-,-,relu,LSTM,32,relu,adam,10
32,4,2,2,-,-,relu,LSTM,32,relu,adamax,10
32,4,2,2,-,-,relu,LSTM,64,relu,adamax,10
16,4,2,2,32,-,relu,LSTM,64,relu,adamax,10
8,4,2,2,16,32,relu,GRU,32,relu,RMSprop,10
8,4,2,2,16,32,relu,GRU,16,relu,RMSprop,10
8,3,2,2,16,32,relu,GRU,32,relu,RMSprop,10
8,4,2,2,16,-,relu,GRU,32,relu,RMSprop,10
16,4,2,2,-,-,relu,GRU,32,relu,adamax,10
16,4,2,2,-,-,relu,GRU,32,relu,adamax,10
8,4,2,2,16,-,relu,GRU,32,relu,adam,10
16,4,2,2,-,-,relu,GRU,32,relu,adam,10
32,4,2,2,-,-,relu,GRU,32,relu,adamax,10
32,4,2,2,-,-,relu,GRU,64,relu,adamax,10
16,4,2,2,32,-,relu,GRU,64,relu,adamax,10
8,4,2,2,-,-,relu,GRU,32,relu,adam,10
8,4,2,2,16,-,relu,GRU,32,relu,adam,10
8,4,2,2,16,32,relu,GRU,64,relu,adam,10
8,4,2,2,16,32,relu,LSTM,32,sigmoid,RMSprop,10
8,4,2,2,16,32,relu,LSTM,16,sigmoid,RMSprop,10
8,3,2,2,16,32,relu,LSTM,32,sigmoid,RMSprop,10
8,4,2,2,16,-,relu,LSTM,32,sigmoid,RMSprop,10
16,4,2,2,-,-,relu,LSTM,32,sigmoid,adamax,10
16,4,2,2,-,-,relu,LSTM,32,sigmoid,adamax,10
8,4,2,2,16,-,relu,LSTM,32,sigmoid,adam,10
16,4,2,2,-,-,relu,LSTM,32,sigmoid,adam,10
32,4,2,2,-,-,relu,LSTM,32,sigmoid,adamax,10
32,4,2,2,-,-,relu,LSTM,64,sigmoid,adamax,10
16,4,2,2,32,-,relu,LSTM,64,sigmoid,adamax,10
8,4,2,2,16,32,relu,GRU,32,sigmoid,RMSprop,10
8,4,2,2,16,32,relu,GRU,16,sigmoid,RMSprop,10
8,3,2,2,16,32,relu,GRU,32,sigmoid,RMSprop,10
8,4,2,2,16,-,relu,GRU,32,sigmoid,RMSprop,10
16,4,2,2,-,-,relu,GRU,32,sigmoid,adamax,10
16,4,2,2,-,-,relu,GRU,32,sigmoid,adamax,10
8,4,2,2,16,-,relu,GRU,32,sigmoid,adam,10
16,4,2,2,-,-,relu,GRU,32,sigmoid,adam,10
32,4,2,2,-,-,relu,GRU,32,sigmoid,adamax,10
32,4,2,2,-,-,relu,GRU,64,sigmoid,adamax,10
16,4,2,2,32,-,relu,GRU,64,sigmoid,adamax,10
8,4,2,2,-,-,relu,GRU,32,sigmoid,adam,10
8,4,2,2,16,-,relu,GRU,32,sigmoid,adam,10
8,4,2,2,16,32,relu,GRU,64,sigmoid,adam,10
8,4,2,2,16,32,relu,LSTM,32,tanh,RMSprop,10
8,4,2,2,16,32,relu,LSTM,16,tanh,RMSprop,10
8,3,2,2,16,32,relu,LSTM,32,tanh,RMSprop,10
8,4,2,2,16,-,relu,LSTM,32,tanh,RMSprop,10
16,4,2,2,-,-,relu,LSTM,32,tanh,adamax,10
16,4,2,2,-,-,relu,LSTM,32,tanh,adamax,10
8,4,2,2,16,-,relu,LSTM,32,tanh,adam,10
16,4,2,2,-,-,relu,LSTM,32,tanh,adam,10
32,4,2,2,-,-,relu,LSTM,32,tanh,adamax,10
32,4,2,2,-,-,relu,LSTM,64,tanh,adamax,10
16,4,2,2,32,-,relu,LSTM,64,tanh,adamax,10
8,4,2,2,16,32,relu,GRU,32,tanh,RMSprop,10
8,4,2,2,16,32,relu,GRU,16,tanh,RMSprop,10
8,3,2,2,16,32,relu,GRU,32,tanh,RMSprop,10
8,4,2,2,16,-,relu,GRU,32,tanh,RMSprop,10
16,4,2,2,-,-,relu,GRU,32,tanh,adamax,10
16,4,2,2,-,-,relu,GRU,32,tanh,adamax,10
8,4,2,2,16,-,relu,GRU,32,tanh,adam,10
16,4,2,2,-,-,relu,GRU,32,tanh,adam,10
32,4,2,2,-,-,relu,GRU,32,tanh,adamax,10
32,4,2,2,-,-,relu,GRU,64,tanh,adamax,10
16,4,2,2,32,-,relu,GRU,64,tanh,adamax,10
8,4,2,2,-,-,relu,GRU,32,tanh,adam,10
8,4,2,2,16,-,relu,GRU,32,tanh,adam,10
8,4,2,2,16,32,relu,GRU,64,tanh,adam,10